Year/State/Union Territory,Reporting area for land utilisation statistics, Forests  , Not available for cultivation, Permanent pastures & other grazing lands,Land under misc. tree crops & groves, Culturable waste,Fallow lands other than current fallows,  Current fallows, Net area sown , Total cropped area, Area sown more than once
 2008-09 ,305586,70034,42862,10177,3356,12752,10286,14191,141929,195357,53428
 Andhra Pradesh,27505,6210,4797,569,299,650,1488,2624,10868,13830,2962
 Arunachal Pradesh ,5659,5154,64,19,37,65,70,40,211,276,65
 Assam *,7850,1853,2626,160,196,77,59,126,2753,3984,1231
 Bihar *,9360,622,2085,16,241,46,119,569,5662,7796,2134
Chhattisgarh,13790,6349,1004,855,1,347,258,265,4710,5683,973
 Goa,361,125,37,1,1,53,NA,9,135,166,31
 Gujarat *,18871,1833,3758,853,4,1976,19,623,9801,11571,1770
 Haryana,4368,40,573,30,12,29,5,105,3576,6484,2908
 Himachal Pradesh *,4549,1101,1129,1496,65,138,15,64,541,936,395
 Jammu & Kashmir,3781,2023,585,128,67,150,23,65,739,1137,398
 Jharkhand ,7969,2239,1332,110,93,336,962,1394,1504,1689,185
 Karnataka,19050,3072,2163,923,290,413,516,1500,10174,12369,2195
 Kerala,3886,1082,500,NA,6,96,46,68,2089,2695,606
 Madhya Pradesh,30756,8696,3401,1337,19,1160,621,582,14941,20657,5716
 Maharashtra *,30758,5213,3151,1246,248,917,1187,1370,17426,22108,4682
 Manipur *,1965,1693,27,1,6,1,NA,NA,236,236,NA
 Meghalaya,2227,948,226,NA,160,393,157,59,284,337,53
 Mizoram ,2109,1594,133,5,46,5,171,60,95,95,NA
 Nagaland,1621,863,98,NA,121,60,89,73,316,402,86
 Orissa,15571,5813,2138,494,342,375,229,576,5604,9071,3467
 Punjab ,5033,295,516,7,5,3,NA,37,4169,7912,3743
 Rajasthan,34270,2728,4265,1699,18,4336,2108,1565,17551,22771,5220
 Sikkim *,723,319,250,4,5,2,30,5,107,118,10
 Tamil Nadu,13027,2106,2665,110,259,333,1498,1013,5043,5824,781
 Tripura *,1049,606,134,NA,27,1,1,1,280,295,15
 Uttarakhand ,5673,3486,441,199,384,303,71,35,754,1188,435
 Uttar Pradesh ,24170,1658,3268,65,374,440,540,1408,16417,25540,9123
 West Bengal,8684,1174,1814,7,55,32,22,287,5294,9801,4507
 A. & N. Islands *,795,717,24,6,18,12,3,1,13,18,5
 Chandigarh *,7,NA,5,NA,1,NA,NA,NA,1,2,1
 D. & N. Haveli*,49,20,4,1,NA,NA,1,2,21,27,6
 Daman & Diu *,5,NA,NA,NA,NA,NA,NA,NA,5,5,NA
 Delhi,147,1,92,NA,1,10,8,12,23,43,20
 Lakshadweep*,3,NA,NA,NA,NA,NA,NA,NA,3,3,NA
 Puducherry,49,NA,18,NA,1,4,2,3,19,33,14
